ID,Date,Open,High,Low,Close,Adj Close,Volume
1,2019-03-27,11531.4502,11546.2002,11413,11445.04981,11445.04981,350400
2,2019-03-28,11463.65039,11588.5,11452.4502,11570,11570,527700
3,2019-04-01,11665.2002,11738.09961,11644.75,11669.15039,11669.15039,379600
4,2019-04-02,11711.54981,11729.34961,11655.84961,11713.2002,11713.2002,386100
5,2019-04-03,11735.29981,11761,11629.15039,11643.9502,11643.9502,365800
6,2019-04-04,11660.2002,11662.54981,11559.2002,11598,11598,349000
7,2019-04-05,11638.40039,11689.65039,11609.5,11665.9502,11665.9502,266700
8,2019-04-08,11704.34961,11710.29981,11549.09961,11604.5,11604.5,260900
9,2019-04-09,11612.04981,11683.90039,11569.7002,11671.9502,11671.9502,300500
10,2019-04-10,11646.84961,11680.04981,11571.75,11584.29981,11584.29981,359900
11,2019-04-11,11592.54981,11606.7002,11550.54981,11596.7002,11596.7002,279800
12,2019-04-12,11612.84961,11657.34961,11578.79981,11643.4502,11643.4502,246000
13,2019-04-15,11667,11704.59961,11648.25,11690.34961,11690.34961,290000
14,2019-04-16,11736.2002,11810.9502,11731.54981,11787.15039,11787.15039,354300
15,2019-04-18,11856.15039,11856.15039,11738.5,11752.79981,11752.79981,339700
16,2019-04-22,11727.04981,11727.04981,11583.9502,11594.4502,11594.4502,260400
17,2019-04-23,11612.9502,11645.9502,11564.79981,11575.9502,11575.9502,272500
18,2019-04-24,11601.5,11740.84961,11578.84961,11726.15039,11726.15039,335200
19,2019-04-25,11735.7002,11796.75,11624.29981,11641.79981,11641.79981,604400
20,2019-04-26,11683.75,11762.90039,11661.75,11754.65039,11754.65039,333500
21,2019-04-30,11748.75,11756.25,11655.90039,11748.15039,11748.15039,532600
22,2019-05-02,11725.54981,11789.29981,11699.54981,11724.75,11724.75,380300
23,2019-05-03,11722.59961,11770.90039,11699.34961,11712.25,11712.25,305500
24,2019-05-06,11605.79981,11632.54981,11571.34961,11598.25,11598.25,299000
25,2019-05-07,11651.5,11657.04981,11484.4502,11497.90039,11497.90039,337500
26,2019-05-08,11478.7002,11479.09961,11346.9502,11359.4502,11359.4502,372800
27,2019-05-09,11322.40039,11357.59961,11255.04981,11301.79981,11301.79981,373000
28,2019-05-10,11314.15039,11345.79981,11251.04981,11278.90039,11278.90039,387300
29,2019-05-13,11258.7002,11300.2002,11125.59961,11148.2002,11148.2002,357600
30,2019-05-14,11151.65039,11294.75,11108.29981,11222.04981,11222.04981,398100
31,2019-05-15,11271.7002,11286.79981,11136.9502,11157,11157,414200
32,2019-05-16,11180.34961,11281.54981,11143.34961,11257.09961,11257.09961,350700
33,2019-05-17,11261.90039,11426.15039,11259.84961,11407.15039,11407.15039,412100
34,2019-05-20,11651.90039,11845.2002,11591.7002,11828.25,11828.25,452100
35,2019-05-21,11863.65039,11883.54981,11682.79981,11709.09961,11709.09961,381000
36,2019-05-22,11727.9502,11784.79981,11682.40039,11737.90039,11737.90039,355900
37,2019-05-23,11901.29981,12041.15039,11614.5,11657.04981,11657.04981,569000
38,2019-05-24,11748,11859,11658.09961,11844.09961,11844.09961,374600
39,2019-05-27,11855.5,11957.15039,11812.40039,11924.75,11924.75,348400
40,2019-05-28,11958.34961,11958.54981,11864.90039,11928.75,11928.75,598300
41,2019-05-29,11905.79981,11931.90039,11836.79981,11861.09961,11861.09961,318100
42,2019-05-30,11865.29981,11968.54981,11859.40039,11945.90039,11945.90039,421200
43,2019-05-31,11999.79981,12039.25,11829.4502,11922.79981,11922.79981,438900
44,2019-06-03,11953.75,12103.04981,11920.09961,12088.54981,12088.54981,315300
45,2019-06-04,12052.65039,12095.2002,12005.84961,12021.65039,12021.65039,289200
46,2019-06-06,12039.79981,12039.79981,11830.25,11843.75,11843.75,415200
47,2019-06-07,11865.2002,11897.5,11769.5,11870.65039,11870.65039,302500
